Console Address,OS,HW Type
d1ppap1080-ilo.1dc.com,CentOS 7 X86_64,PROLIANT DL380 GEN9
d1ppap1081-ilo.1dc.com,CentOS 7 X86_64,PROLIANT DL380 GEN9
d1ppap1082-ilo.1dc.com,CentOS 7 X86_64,PROLIANT DL380 GEN9
d1ppap1083-ilo.1dc.com,CentOS 7 X86_64,PROLIANT DL380 GEN9
d1ppap1084-ilo.1dc.com,CentOS 7 X86_64,PROLIANT DL380 GEN9
d1ppap1085-ilo.1dc.com,CentOS 7 X86_64,PROLIANT DL380 GEN9
d1ppap1086-ilo.1dc.com,CentOS 7 X86_64,PROLIANT DL380 GEN9
d1ppds1000-ilo.1dc.com,CentOS 7 X86_64,PROLIANT DL380P GEN8
d3cpap1002-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3cpap1003-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3cpap1004-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3cpap1006-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3cpap1007-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3cpap1008-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3cpap1009-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R620
d3cpap1010-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1000-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R620
d3ppap1001-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R620
d3ppap1002-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1003-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1004-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1005-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1009-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1010-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1011-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1025-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1026-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1027-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1028-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1029-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1033-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1034-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1035-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1036-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d3ppap1037-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R730XD
d3ppap1038-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R730XD
d3ppap1039-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R730XD
d3ppap1040-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R730XD
d3ppap1041-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R730XD
d3ppap1042-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R730XD
d3ppap1043-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R730XD
d3ppap1044-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R730XD
dabptl1000-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380 G7
dabptl1001-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380 G7
dbpptl1000-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380 G7
dbpptl1001-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380 G7
DKPPSE1000-bmc.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
DKPPSE1001-bmc.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
DLPPSE1000-bmc.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
